,NAMES,SOURCE_ID,teff,logg,RV,e_RV
1,WD0106-328,5026963661794939520,15970.013915616291,8.356894972225902,54.93846502148522,2.6394905310638883
5,HE0308-2305,5075443981321647744,14864.825955067698,8.800420450273014,74.03019277109044,3.0903618981484087
7,HE0358-5127,4828757999190736128,14643.549938836455,8.615914413449039,41.26625978252548,2.5542616338102317
10,HE0403-4129,4842194473663089920,14499.999679229832,8.58014699651228,26.898798683657898,3.720791876107869
12,HE0403-4129,4842194473663089920,14708.933844124123,8.835339916278127,26.61246218537588,4.375296807797898
13,HE0414-4039,4841115341656167552,14419.10834685643,8.475220758716189,66.0646356755542,4.986070918160326
14,HE0414-4039,4841115341656167552,14786.825453193916,8.769905326498176,56.10908564558721,4.911027188442915
15,HE0416-1034,3191249387709577088,14903.35497076186,8.82729183818472,67.4687376974806,2.44082972679108
17,HE0418-1021,3191269144559159936,19785.193872808835,8.181439256269933,62.084662429620586,2.5089809698334378
19,HE0418-5326,4779427928974390272,19363.43562795475,8.90958520504529,17.69628455430393,6.542927689161987
20,HE0418-5326,4779427928974390272,14999.99867075104,8.868029948246054,5.8663927349117095,4.825669114681308
21,HE0452-3444,4873054711334208256,14080.82697794148,8.061792276857963,21.233820638999177,3.212095112310065
22,HE0452-3444,4873054711334208256,14647.42150990032,8.000002747646295,19.2161548873752,3.9555260635343137
25,WD1325-089,3629976620502866944,13999.998903176764,7.686330757643499,0.212085558446334,1.6011938422128864
27,HE1518-0020,4415725940820061824,13388.768515555075,7.499961264192557,30.516642096852237,2.2971589221245505
29,WD2230-125,2601689466188247808,14347.925591760157,8.268070994825516,4.949968026521256,3.330715284234196
30,WD2230-125,2601689466188247808,13878.8057181098,7.934671153975289,5.083796032216831,3.320963404488874
34,HE2345-4810,6524412152806190336,17091.130893033645,8.757268281936003,48.8726671082987,3.367276182787247
35,HE2345-4810,6524412152806190336,15160.713103069918,8.75925579529499,0.7133916117468722,3.782744971806763
37,HS0002+1635,2772855182928578560,15051.980203955292,8.874424056530941,18.06328884153467,2.712256537538157
38,WD0047+190,2788992130973584640,20000.203626733022,7.178454599806771,21.95641312225117,8.726105602014979
39,WD0047+190,2788992130973584640,14000.000094643992,7.625419145552784,20.98610532228875,2.754152854023568
40,WD0047+190,2788992130973584640,14000.015021649007,7.787873463799469,20.91166581924214,2.834225260588686
41,HS0200+2449,105299786211260160,17695.86683223613,7.718527764134631,42.891327050450776,3.0264173484053174
42,HS0200+2449,105299786211260160,14947.79381816412,8.919744729045288,51.60878985954498,4.367227110854419
43,HS0944+1913,627412945768300800,14000.000264724686,7.914110474117618,58.954374325383,1.6139821375133252
45,HS1243+0132,3702195464793095936,14779.564410173076,8.91318767171147,68.13081224732878,7.147913246708342
