obsname,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
wd0102-185_2452675_53126922995,40.33050395735746,83.51592757814285,20734.21524113056,7.218468763101823,0.0468759590087079
wd1015+161_2452327_70783188986,72.30146549402744,21.93502990409824,21353.26904097756,8.99996773088698,0.4942879560981513
wd1348-273_2452658_79150797008,66.233479031512,26.256695432685767,11999.987142587262,7.999422832075332,0.2136890237792283
wd1327-083_2452382_69247291004,45.1756609245658,6.518562712704991,15310.893696555057,7.3080153424382415,2.2264491258126555
mct0111-3806_2452531_6501362198,56.58719020758765,57.50880005099644,39877.9629787829,7.000338222710924,0.1656628620987344
wd1448+077_2452078_53327033017,-69.868224691141,26.213859566802302,16495.35286865577,7.111288200250711,0.0878513112626097
mct2349-3627_2451804_62421187013,187.11160756023625,24.50061268368617,39349.67502478287,8.999108351235664,0.9301581431690294
wd1058-129_2451683_50401146011,53.14173083273032,24.20070697385964,13999.988065652697,7.076132788684902,0.63368052002986
hs0929+0839_2452663_72739925981,-0.7138411746739158,29.40538270188972,26655.77395572188,8.962517998595457,0.5932977696023686
wd2303+017_2452531_54613466002,28.7366327678315,61.63759015929613,21645.07957041332,7.030219050670609,0.92410125496727
he0416-3852_2451889_68925881991,51.96135631177204,181.4923464756276,19319.563534184024,7.981156818348267,0.0045223500531542
wd2159-414_2451708_84371626982,-157.6996567110931,63.59173027868336,39898.34848012778,8.206006412614503,0.1977889255314055
hs2108+1734_2452465_77714412985,79.05110241117634,28.016168254242142,22446.9979297034,7.0027369645042326,0.7714366917319485
wd0320-539_2451759_91959910002,95.30291549795604,96.40939154961104,23867.12760605428,7.002277776075899,0.2052623273711985
wd1230-308_2451686_58728415985,47.52526157248887,27.892868716740143,21416.44099747643,8.993795617520238,0.1439482480017995
hs0002+1635_2452889_69983795984,14.745068720466486,22.37570644175883,20560.178106095264,7.000768070511809,0.6805336552521337
wd1614+160_2452862_55030860007,-13.86149959544779,24.058352099214733,16391.90025703668,7.404456769674264,0.069865742884873
mct0111-3806_2452146_8814581898,-64.64204191360729,90.13042172009928,21944.75133237103,7.000064813689477,0.6298546447458264
he1258+0123_2451727_60078979004,20.958065119239368,30.25224287945012,13499.976185643787,7.923636032362865,0.1338740574236694
wd1918+110_2451688_87355678016,79.93414267914208,39.870516669466426,13999.951024847884,7.006932495475279,0.1618725470989771
wd0243+155_2452537_88085468998,2.326119285072347,37.43712734940141,16500.00000315028,7.453529036770671,0.0821240104371365
wd2326+049_2451762_67906570993,41.66696924185455,9.160337410158789,11999.999690745624,7.999998987744993,2.478803506228332
he2159-1649_2451891_52478743019,35.280671401272656,45.767152273846456,16104.376410339222,7.493140037443135,0.046243674805163
wd1537-152_2451731_64640050009,-42.715919339502975,22.650187037643,15002.08007144448,7.039287710916423,0.0955626446254134
wd2354-151_2451761_81417607982,-22.77027242370427,22.26880806673994,34513.713697823245,7.441948761470314,0.1359744527694201
wd0548+000_2451802_86869995017,125.84214581612468,43.87457039064012,39893.42551847406,7.0335282042294445,0.3960614331970188
wd0916+064_2452033_58081773017,166.66178784663796,85.34259982915854,29446.899291589634,7.088653247793497,0.2300435026202541
wd0320-539_2451761_8860853198,38.452391989436826,30.303959241319752,22682.47695031476,7.028707322614375,0.6910093049497648
he1522-0410_2451743_6638947702,281.54593439134004,48.97191954296139,10999.992631980464,7.174100578891149,1.363568071896062
he0219m4049_a_2452522_89045079984,25.16294349926208,25.924830101290684,16060.14835820933,7.599203426768162,0.1591077120191928
he1307-0059_2451739_50733806984,92.88645369394482,36.90371747190909,13999.993326290918,7.085607628269752,0.3378057991824862
he0338m3025_b_2452171_89275097987,21.14720443276637,18.880031689410107,11999.994397334169,7.999996686598252,0.3684494471911627
wd0308+188_2452656_56876969989,22.71799095530203,19.320805309443767,16499.999039993265,7.632884206937492,0.3322044555719656
he1518-0020_2451739_59605254,62.93305447906189,17.97140586897451,17690.441624525192,7.015217237539901,1.0752738373972424
wd1401-147_2451742_55821296014,67.25013261390814,21.949313483269226,12668.222891211826,7.077793457127518,0.6450205513715622
wd0318-021_2452336_53859307012,44.51684100141314,28.55089701426041,13999.859985193973,7.185287519842449,0.1602476911282394
wd1026+023_2452656_72158691986,0.161734826789667,15.80776263484326,13561.590483057207,7.927118237125583,0.4800678314411998
wd2321-549_2452212_72628457006,162.91347908050955,89.65136205070277,21170.861357429363,7.05971347224329,0.5226848662247443
he1511-0448_2452108_50025271019,-27.116067597105573,35.420896720963626,39890.027569746526,7.0024911120558215,0.7998206686191103
hs2108+1734_2452861_66147889988,31.813700707167857,32.561785537748605,18068.54610285259,8.999070087634074,0.3628190543099285
wd0839+231_2452327_58986247005,10.227411998309623,18.273412884403733,20252.104291423828,7.002655197393874,0.3238456165176663
wd2318-226_2451802_66510957014,55.89716246140771,44.0200609024474,22960.33591390355,7.228773348903432,0.1425707563859254
wd1614-128_2451703_5979667902,55.29635649061947,23.50793654426019,13999.935429323372,7.032198105745928,0.1874028656458931
he0130m2721_a_2452532_69524927018,40.62162019906644,32.12015410644685,13999.99594596754,7.082189516108881,0.4291049124217405
wd0205-365_2451740_79925080994,204.9660306357358,119.12731740560514,39892.36198852594,8.995052016709709,0.3751843636931636
wd1326-236_2451739_51783125009,58.31514729539732,34.39855553561414,13662.437765041015,7.305267046459556,0.4319396594526949
wd0937-103_2452327_67787786014,88.85888377452306,24.92006306593744,17895.560165976513,7.218996405895838,0.2180926633826672
hs1432+1441_2452142_51096192002,69.90104937026247,33.57944129731081,13999.949873117384,7.011933272786393,0.0691547268493845
he2220-0633_2452541_66812314978,49.53094252988817,27.003833638355268,16173.194637871018,7.61019435109618,0.1287420769104583
wd0032-175_2452542_77202865016,27.63227973921281,14.739186669508392,11999.994160499164,7.999998314515341,0.4257366316673891
wd2051+095_2451705_88149541989,23.740041603330265,23.291138898556536,16498.674848796974,8.096829800177636,0.2443816398893661
hs2138+0910_2452145_61173916003,-26.25623029938258,15.302081775513493,11999.973834697352,7.966853097780345,0.5939437063921849
wd0047-524_2452482_7651490001,24.82881561944469,14.396182118307642,17976.047537251427,7.371649877884038,0.4385396190920358
wd1000-001_2452009_59739169013,85.1973580628703,33.352306027805184,16737.034447103044,7.155858794246187,0.081940949232795
wd2032+188_2452527_50801397022,-19.89312942624192,37.12604513965997,19485.53034173336,7.005064762811991,0.2496985235899289
wd2350-248_2451803_57852760982,92.80152999813808,25.3161548269698,20844.93479723671,7.027847524406052,0.8942477369527375
wd1434-223_2451687_61212344002,-118.7870716229276,130.07749263636688,39463.35245961711,7.00074642816457,0.1144336009219221
wd0509-007_2452258_81380072003,40.17240458660513,30.792331412161666,21992.04675859971,8.999999963768252,0.5053901424559318
ec12489m2750_a_2451738_55988057004,124.68982524136196,50.17685556367259,38996.58161312656,7.000508649442319,0.7611337327778406
wd1323-514_2452044_56226337003,6.99561632637937,200.8759409683829,18142.918394575623,7.390136904026827,0.001515524106794
wd1257+047_2451686_57471841015,32.47567803928968,22.944505956105424,18873.302997606257,7.250120012413715,0.175587002052185
ec12489m2750_b_2451741_49392732,112.1426327361422,51.13860810438946,22106.59101465716,7.000060867561442,1.5671639886474584
hs2229+2335_2452542_60282474011,5.742967432321612,29.967582498894217,13999.989164699193,7.139494688329211,0.2602542708189437
wd0352+018_2452332_55150589021,101.90998693704522,28.504307990579623,13999.991877785404,7.090884683530149,0.2985514540440869
wd1524-749_2451743_68104198016,354.33225628256093,77.8172127075126,21941.27062002575,7.00078151223551,0.6722022485368915
wd2329-332_2451740_71903491998,78.02865245910651,40.53596771619527,21685.594937720874,7.02665705876049,0.2050306719689406
hs1705+2228_2452521_51471672999,-0.0643553024378372,317.5413556141644,39819.35832124437,7.00810781622656,0.0648076246846915
wd2157+161_2452540_61414719978,-25.01814202299412,37.43964222261819,16564.548532435627,7.2739623768946995,0.0385189788203434
wd2351-368_2451743_78926294995,26.83258178501508,17.571626787071473,17296.795153015162,7.031004176487854,0.8447008399948033
