obsname,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
he0418-5326_2451761_89148883987,34.02704230357574,25.255339314150298,9277.395575871156,8.999999614387239,0.2777087133130224
hs1334+0701_2452078_54560510023,-40.49459039431127,26.65536626803135,12332.622110302533,8.832908080287169,0.08466491098631668
wd0000-186_2451803_70371229993,42.00705233727611,27.61510814845124,14445.525356139698,8.156500459313293,0.066159294859714
mct0105-1634_2452883_67739923997,65.4822920799937,33.176570156693394,12500.007994756585,8.99982261397257,1.1746172797774075
wd0106-358_2451741_77861934993,39.95517419880238,27.641641003699473,22177.285585243895,8.985492191264017,1.1738336495519865
he0516-1804_2451884_80710864021,14.233857882827579,11.055272626386856,13903.44831743798,7.938359819153444,0.5213729658563735
wd1532+033_2452116_50316091022,29.951368335934692,43.12263867535244,22182.47396659164,7.000108053946855,10.92853903998377
hs0346+0755_2452695_54193167016,9.332925618495825,33.82505590177511,14279.245370917357,8.364626011819237,0.09361735320004011
wd0208-263_2452537_71676826989,102.32391209505181,49.8805327435461,34602.453805903395,8.017315112542645,0.05638871780433881
he0403-4129_2451740_91876453999,46.92354346459501,29.987363635965842,16000.070242567546,8.999843075808379,0.4567112611702962
wd2306+124_2451802_58816582989,47.41375929956824,20.540444830543308,15494.987790203731,8.999870314694057,0.24365987887931234
wd0243+155_2452537_88085468998,25.431121065727293,27.722132238732147,14999.998501089423,8.7642730580869,0.0641917998195282
wd0630-050_2451885_79964757012,173.56448569419516,69.31480027584843,39899.481477781184,8.45160871762506,0.10437861576680613
wd1102-183_2451657_64098158991,73.72826970478246,13.048596993830373,8279.293060831344,8.499948242559302,0.1511873556879692
he2246-0658_2452803_92885352019,44.75032985937097,16.13461867571109,12499.98002999572,8.999725133673206,0.26334733409553607
hs0213+1145_2452655_58215440018,107.28905754797316,20.385944667707015,14482.07959980048,8.561020877136308,0.05076477672393968
wd0133-116_2451737_81095321011,100.481547119683,11.328818790958856,13299.754939347173,8.414383699391935,0.501142797681544
wd1126-222_2451657_67427386995,21.740435814791454,17.960312316818932,12938.935226897122,8.16964976117775,0.09933502179686801
wd2253-081_2451742_75808817009,-180.5481718809452,78.19204013404251,39866.34908419842,7.816628206312807,0.5598591500242857
wd0621-376_2452006_55069313012,28.067300311496176,13.696528684822184,39899.895773949334,7.000134396842017,5.52210420072609
he0349-2537_2451924_57307804003,11.327880173592222,28.38970653156148,15524.376868531917,8.99988324209576,0.16777385560714497
he0106m3253_b_2452146_86455501011,77.61177440669772,17.45731220109951,17591.008938952175,8.603702528541794,0.2223507658121857
he1326-0041_2451738_5804039198,45.37513681157974,27.021188146513758,12500.010086700382,8.999788463705375,0.0910572556065816
he1522-0410_2451743_6638947702,-121.82283748814181,9.776449970921064,12212.172669367026,7.891379584368691,2.8579523259419477
wd0229-481_2451759_89703124994,88.59335841682963,125.73356786256821,39899.98714706752,8.99997509618149,0.21091863004713984
