obsname,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
wd1241+235_2452322_87372450018,-10.92185301375974,6.839739990451655,14747.629951565837,8.999999852106301,3.1356590776283544
he0255m1100_b_2452537_80853756983,-29.61582762958616,5.339775899815896,24870.61572185368,7.427609167408923,6.162098377389527
wd1003-023_2451946_66651646979,35.96444886445905,6.351391077855942,31615.364879677592,7.000000022938751,3.571521385807328
he0049m0940_b_2452544_76902421983,24.110799753213485,2.77815079846148,14999.999745028184,7.409669811984743,3.8949238815919833
wd1636+057_2451731_65579192992,82.53581085557246,2.5442471205729262,9082.133915753682,8.526000407305595,5.387171912363691
wd1507-105_2451696_74165190989,186.65379593759098,7.14354178017814,25000.00007380209,7.057701376611544,0.045633718648385835
he1310-0337_2451736_59216202982,162.82502323967677,0.023176396874660554,9499.99862849328,7.005052906102372,236.08345161257807
wd2318-226_2451802_66510957014,63.924438640511745,11.374530979355331,19999.976384429618,8.965788016859735,2.2069749805594086
wd2007-219_2451761_77842749981,-8.602717612821786,1.4550355669519313,11339.84552392815,7.99999998168474,5.724497551041954
wd1149+057_2451944_76796919992,48.603543803821346,338.6846851474538,4014.2620710909155,7.493752772406033,246.94966975320023
wd0143+216_2452536_75360593013,2.035592133373438,2.956874063859935,9484.456524183897,8.49996006639544,5.156975403154671
he1215+0227_2451741_47386774002,14.938436303941085,45.519897926190424,35028.435198775485,8.999892061628627,2.032466750521266
wd1914+094_2452033_85984183988,41.46535617646683,15.14897108005345,25619.40838844167,8.999998730538582,2.8979766858376017
wd2306+130_2452542_7007834902,45.61677151790442,2.818354561744698,13716.431138740718,8.130851306283168,4.841592807187856
hs1517+0814_2452080_63952634018,40.979543374740466,5.0650771092927975,12494.543125081933,8.999831829125446,15.335882882907116
he0222m2630_a_2452465_8912900798,66.00421535293567,4.440800845858014,14880.802248707168,8.999999999995714,3.1527016378289745
wd2139+115_2451701_86948795011,8.352256766898734,4.624127774180294,16468.29880395171,7.7234396801780925,6.410148909289756
wd0956+020_2451660_65826001018,35.79059549373327,4.399717544176649,16499.9902294578,7.621046220437165,3.913274307008258
wd0315-332_2452852_89553725021,-2.842256284163561,41.701459963149546,39059.59749253872,8.60032455479884,1.6910052900342785
wd1229-012_2451684_57251289021,16.924890948089555,3.014396137523369,15999.9331213724,7.819026903651563,3.31626617689225
hs1334+0701_2452387_75006322004,-52.25128681462593,3.769432050866577,11499.985101172304,8.944006293954592,5.608275184614373
wd1019+129_2451939_84877198003,80.03533611012008,4.561097218956256,15003.680345280747,7.999999428861652,4.510780550790274
hs2132+0941_2452141_56242509,-14.627752847563869,2.9914442136632218,12265.88708448545,7.000000065273151,8.759057655759712
he0211m2824_a_2451885_64322081022,57.18189075737287,6.488759851556601,14321.43902563171,8.555337703703742,1.8399318076855753
wd2359-324_2451740_73817098979,90.37268780768308,6.570843551991388,15315.18493924781,7.000000000270786,8.528438385364009
wd0425+168_2452639_6379789901,79.13505126078688,3.4192798755531797,17813.893563496524,8.350603538936392,1.9762439208146192
wd2204+071_2452142_6318807099,54.687266059575364,4.660162007606683,24640.580650547912,7.547713188997966,3.0698103534262042
wd0317+196_2452538_73996212985,61.19725218428095,4.82770940758089,14376.112449335495,8.499952808777987,6.711520873691458
he0255m1100_a_2451949_52649880014,20.140586221491546,9.0480559505278,20551.381352122866,8.155346801595114,4.44422132612796
he0106m3253_a_2451885_62078195997,43.90098455876483,6.182827303407045,19995.931721319,8.700812456697593,3.2735788130330277
